zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
91118,PO BOX,0,San Marino,Pasadena,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.12,-118.09,367
91121,UNIQUE,0,Pasadena,,Avon Products,CA,Los Angeles County,America/Los_Angeles,626,,US,34.15,-118.09,0
91123,UNIQUE,0,Pasadena,,Ambassador College,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.15,0
91124,UNIQUE,0,Pasadena,,Ralph M Parsons Co,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.15,0
91125,UNIQUE,0,Pasadena,,Cal Tech,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.12,330
91126,UNIQUE,0,Pasadena,,Cal Tech,CA,Los Angeles County,America/Los_Angeles,626,,US,34.13,-118.12,87
91129,UNIQUE,0,Pasadena,,Ambassador I C Foundation,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.15,0
91131,UNIQUE,1,Pasadena,,World Vision International,CA,Los Angeles County,America/Los_Angeles,626,,US,34.15,-118.15,0
91182,UNIQUE,0,Pasadena,,Fuller Theological Seminary,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.14,0
91184,UNIQUE,0,Pasadena,,Tournament Of Roses Assoc,CA,Los Angeles County,America/Los_Angeles,626,,US,34.13,-118.16,0
91185,UNIQUE,0,Pasadena,,Mellon Regional Lockbox Netw,CA,Los Angeles County,America/Los_Angeles,626,,US,34.16,-117.98,0
91188,UNIQUE,0,Pasadena,,Kaiser Foundation Health,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.14,0
91189,UNIQUE,0,Pasadena,,J P Morgan,CA,Los Angeles County,America/Los_Angeles,626,,US,34.12,-118.16,0
91191,UNIQUE,1,Pasadena,World Vision Inc Brm,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.15,-118.15,0
91199,UNIQUE,0,Pasadena,,City National Bank,CA,Los Angeles County,America/Los_Angeles,626,,US,34.17,-118.12,0
91201,STANDARD,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.17,-118.29,18150
91202,STANDARD,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.16,-118.26,19300
91203,STANDARD,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.15,-118.26,12920
91204,STANDARD,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.13,-118.26,13060
91205,STANDARD,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.13,-118.24,28320
91206,STANDARD,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626, 747, 818",,US,34.16,-118.2,27180
91207,STANDARD,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.17,-118.24,9110
91208,STANDARD,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.19,-118.24,15080
91209,PO BOX,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.14,-118.25,1056
91210,STANDARD,0,Glendale,,Glendale Galleria,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.14,-118.26,300
91221,PO BOX,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.16,-118.28,567
91222,PO BOX,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.16,-118.26,228
91225,PO BOX,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.12,-118.25,850
91226,PO BOX,0,Glendale,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.16,-118.21,633
91301,STANDARD,0,Agoura Hills,"Agoura, Calabasas, Calabasas Hills, Calabasas Hls, Cornell, Malibu Lake, Oak Park, Saratoga Hills, Saratoga Hls",,CA,Los Angeles County,America/Los_Angeles,"310, 424, 747, 818",,US,34.12,-118.76,23210
91302,STANDARD,0,Calabasas,"Hidden Hills, Monte Nido, Woodland Hills, Woodland Hls",,CA,Los Angeles County,America/Los_Angeles,"310, 424, 747, 818",,US,34.11,-118.67,22150
91340,STANDARD,0,San Fernando,,,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.28,-118.44,31450
91341,PO BOX,0,San Fernando,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.28,-118.44,717
91350,STANDARD,0,Santa Clarita,"Agua Dulce, Saugus","Bouquet Canyon, Green Valley, Mint Canyon, Sleepy Valley",CA,Los Angeles County,America/Los_Angeles,661,,US,34.43,-118.51,40790
91359,PO BOX,0,Westlake Village,"Thousand Oaks, Westlake Vlg",Valencia,CA,Los Angeles County,America/Los_Angeles,"805, 820",,US,34.19,-118.82,1314
91361,STANDARD,0,Westlake Village,"Hidden Valley, Lake Sherwood, Thousand Oaks, Westlake Vlg",,CA,Ventura County,America/Los_Angeles,"310, 424, 747, 805, 818, 820",,US,34.14,-118.89,18720
91372,PO BOX,0,Calabasas,"Woodland Hills, Woodland Hls",,CA,Los Angeles County,America/Los_Angeles,818,,US,34.15,-118.64,365
91376,PO BOX,0,Agoura Hills,Agoura,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.14,-118.75,687
91380,PO BOX,0,Santa Clarita,Valencia,,CA,Los Angeles County,America/Los_Angeles,661,,US,34.49,-118.39,1561
91382,STANDARD,0,Santa Clarita,,,CA,Los Angeles County,America/Los_Angeles,661,,US,34.41,-118.51,0
